"Sentence","Sentiment"
"A unidade de conectividade tem mais de 100 clientes de factura electrónica e o número de transacções anuais é de quase um milhão.","neutral"
"O prejuízo operacional antes de itens não recorrentes foi de 0,9 milhões de euros, em comparação com um lucro de 11,5 milhões de euros em 2008.","neutral"
"A fabricação de mercado de acordo com o contrato começará em 24 de setembro de 2009.","neutral"
"No quarto trimestre de 2006, o OKO Banks espera que o ambiente operacional dos Serviços Bancários e de Investimento permaneça semelhante ao de Janeiro-Setembro de 2006.","neutral"
"Em 25 de Agosto de 2009, a participação da Sampo na Nordea era de 19,45%.","neutral"
"O setor de energia representou aproximadamente 33 % e a indústria siderúrgica por cerca de 57 % do volume de transporte.","neutral"
"A Rússia foi responsável por 9 % da receita da Divisão da Revista Lagardere, ou 114,40 MN de euros (US $ 148,11 mN) em 2009, os EUA - por 18 %.","neutral"
"O lucro líquido da Vaisala no terceiro trimestre de 2007 caiu para 3,0 milhões de euros (US$ 4,3 milhões) de 6,8 milhões de euros (US$ 9,8 milhões) no mesmo período de 2006.","neutral"
"Janno Reiljan, membro do Conselho de Supervisão da Eesti Energia, disse que os proprietários da Narva Power Grid informou a Eesti Energia sobre seu desejo de vender.","neutral"
"A Kesko publicou anteriormente um comunicado na bolsa de valores relativo ao negócio em 7 de Fevereiro de 2007 .","neutral"
"O contrato incorpora uma solução de classificação de carregamento convergente para voz e dados, que inclui Internet, GPRS, SMS, MMS e WAP.","neutral"
"A Okmetic revisou suas perspectivas financeiras para 2010 com base em sua carteira de pedidos.","neutral"
"Adicionalmente, são fornecidas informações sobre segmentos de negócios, concorrentes e perspectivas futuras.","neutral"
"A solução de cobrança convergente da Tecnotree inclui funcionalidade para cobrança pré-paga e pós-paga, cobrança e classificação de chamadas de voz, chamadas de vídeo e tráfego de dados brutos para redes móveis e fixas.","neutral"
"A Ahlstrom, com sede em Helsinque, Finlândia, é líder global no desenvolvimento, fabricação e comercialização de materiais à base de fibras de alto desempenho.","neutral"
"O fabricante de aparelhos não divulgou nenhum detalhe financeiro.","neutral"
"A fábrica da empresa na Rússia continuará a fabricar pneus para os mercados próximos, enquanto a fábrica da Nokia, na Finlândia, fabricará pneus para outros mercados.","neutral"
"Cerca de 3,8 mln euro (US $ 5,2 mln) do preço de aquisição básica serão pagos em dinheiro e o restante através de uma oferta de assinatura de um total de 850.000 novas ações da Ixonos.","neutral"
"A empresa finlandesa de equipamentos esportivos Amer Sports disse que decidiu demitir 370 trabalhadores de sua divisão Salomon na França.","neutral"
"As demonstrações financeiras e os relatórios intercalares serão divulgados por volta das 9h00 (hora finlandesa) nas datas indicadas.","neutral"
"A empresa finlandesa de equipamentos esportivos Amer Sports disse que decidiu demitir 370 trabalhadores de sua divisão Salomon na França.","neutral"
"O lucro operacional foi de 1,6 milhão de euros em 2005, em comparação com 5,9 MN de euros em 2004.","neutral"
"Os planos de investimento existentes de ambas as empresas serão coordenados.","neutral"
"O edifício abrigará, por exemplo, as instalações da Respecta Oy em Jyvaskyla, bem como outras empresas a serem anunciadas posteriormente, afirma Samuel Koivisto, Diretor de operações da Technopolis em Jyvaskyla.","neutral"
"O investimento total na extensão da fábrica de Vantaa ascenderá a cerca de 10 milhões de euros e a parte da Okmetic nos investimentos ascenderá a cerca de 2,7 milhões.","neutral"
"A Europa Central é uma importante área de mercado para Honka.","neutral"
"A Technopolis planeja desenvolver em estágios uma área de não menos de 100.000 metros quadrados para sediar empresas que trabalham em tecnologias e telecomunicações de computadores, afirmou o comunicado.","neutral"
"A própria unidade de processamento de vidro da Glaston, Tamglass Glass Processing, é fabricante de produtos de vidro de segurança de alta qualidade e opera na Finlândia.","neutral"
"A empresa espera abrir sua primeira loja online nos EUA no verão de 2011.","neutral"
"Como líderes mundiais no desenvolvimento de tecnologia UV para águas residuais municipais, água potável e sistemas de tratamento de água industrial, a Trojan Technologies foi um parceiro lógico no fornecimento à W+ñrtsil+ñ de tecnologia UV para tratamento de água de lastro.","neutral"
"A Exel deseja atender seus clientes industriais com produtos individuais.","neutral"
"PESCA NO TORNEIO DE RAPALA: Com todos os principais títulos já lançados para as férias, jogos baratos como Rapala visam um público menor.","neutral"
"O abate e o corte bovinos nas instalações de Kuopio serão transferidos para o matadouro de Kauhajoki.","neutral"
"A empresa não distribuiu dividendos em 2005 .","neutral"
"""City CU dá as boas-vindas aos membros do DART DALLAS-City CU dá as boas-vindas aos membros do DART FCU à medida que eles se fundem com o City CU"" .","neutral"
"Os custos nÃ£o recorrentes causados âeurosâeurosÃ  Ã¡rea de negÃ³cios da Premedia da Talentum pela reestruturaÃ§Ã£o equivalem a 2,0 mln euros de US $ 2,7 mln e serÃ£o incluÃ­dos nos resultados financeiros da empresa para o segundo trimestre de 2007.","neutral"
"Ela sucederá Krister Kylas, que decidiu deixar a TeliaSonera.","neutral"
"As operaÃ§Ãµes internacionais foram responsÃ¡veis âeurosâeurospor mais de 80% das vendas lÃ­quidas.","neutral"
"Na Finlândia, a Martela oferece um serviço abrangente que pode cobrir todo o processo de mudança, desde o inventário inicial e design até à remoção e manutenção.","neutral"
"O pedido também cobre serviços de design, hardware, licenças de software, bem como serviços de manutenção durante seis anos.","neutral"
"As vendas da unidade caíram no ano passado, depois que a indústria foi atingida por fortes nevascas nos principais resorts no inverno de 2006-07.","neutral"
"A empresa finlandesa de alimentos Raisio Oyj HEL: RAIVV disse na sexta-feira que concluiu o desinvestimento de suas operações de margarina para o player do setor norte-americano Bunge Ltd NYSE: BG por 80 milhões de euros e US$ 119,2 milhões.","neutral"
"A Nokia Siemens Networks tem lutado para obter lucro nos últimos dois anos.","neutral"
"O prejuízo operacional totalizou 3,2 milhões de euros , em comparação com um lucro de 7,2 milhões de euros no terceiro trimestre de 2008 .","neutral"
"A proposta dos acionistas de eleger o Sr. Hannu Krogerus para o Conselho baseia-se em sua longa e inigualável experiência e conhecimento de todos os assuntos relacionados à Elcoteq.","neutral"
"A Basware financia a aquisição com um empréstimo bancário.","neutral"
"A Frost vendeu ações por US $ 19 milhões a US $ 6,06-7,12 por ação, em comparação com a alta de sexta-feira de US $ 11,33 e baixa de US $ 10,14.","neutral"
"A Atria escolheu o deleite para atrair consumidores na faixa etária de 25 a 45 anos para sua nova gama de refeições para microondas.","neutral"
"A finlandesa L&T Recoil , uma empresa especializada na regeneraÃ§Ã£o de Ã³leos usados âeurosâeuros, estÃ¡ a construir uma instalaÃ§Ã£o em Hamina , na FinlÃ¢ndia , em 2008 .","neutral"
"O lucro líquido no mesmo período de 2006 foi de (x20ac) 172 milhões.","neutral"
"As 718.430 novas ações da Série A estarão sujeitas à negociação na Lista Principal da Bolsa de Valores de Helsinque, juntamente com as antigas ações da Série A, em 3 de julho de 2006.","neutral"
"Segundo o procurador, as transacções de acções foram realizadas depois de a HK Ruokatalo ter prosseguido as negociações relativas à aquisição da Swedish Meats.","neutral"
"O dispositivo também pode ser usado para proteção e posicionamento de roubo de veículos, barcos e outros ativos.","neutral"
"O conselho de administração da empresa irá propor um dividendo de 0,14 euros para 2008 na assembleia geral anual.","neutral"
"Os outros assentos seriam para Edgar Edmonds, um americano com experiência na indústria de vestuário e varejo, e Christian Fischer, um austríaco com experiência no negócio de artigos para esportes de inverno.","neutral"
"A Lei de Insolvência regula o montante da dívida que os mutuários podem amortizar.","neutral"
"Como resultado dessas negociações, a Companhia decidiu tornar 45 pessoas redundantes por motivos financeiros e de produção.","neutral"
"Segundo Gran, a empresa não tem planos de transferir toda a produção para a Rússia, embora seja lá que a empresa esteja crescendo.","neutral"
"Budapeste, 10 de agosto MTI - A fabricante finlandesa de eletrônicos Elcoteq demitirá 700 trabalhadores em suas fábricas em Pecs S, Hungria, no final de setembro, devido à queda nos pedidos, disse o diretor de comunicações da unidade local da Elcoteq, Zoltan Krippl, à MTI na segunda-feira.","neutral"
"O conselho disse ainda que a empresa omitiu a licitação para uma parte substancial das obras e, como tal, elas foram legitimamente consideradas não receptivas pela equipe de avaliação.","neutral"
"Lieksaare OY foi considerado anteriormente sob o controle de SaareLainen OY e os acionistas individuais de acordo com o contrato dos acionistas.","neutral"
"Todos os direitos reservados .","neutral"
"O justo valor dos investimentos próprios da CapMan Plc em 30 de Setembro de 2008 ascendia a 59,8 milhões de euros.","neutral"
"O relatório anual contém as demonstrações financeiras, as demonstrações financeiras consolidadas, o relatório do Conselho de Administração e o relatório do auditor.","neutral"
"O shopping será financiado de forma paritária pela Pearl Plaza LLC, a joint venture criada pelo investidor chinês Shanghai Industrial Investment Holdings Co Ltd, e pelo Grupo SRV.","neutral"
"O presidente da FCC, Kevin Martin, disse que o Fair Play exigia estender as mesmas regras desregulatórias às linhas de assinantes digitais que os provedores de telecomunicações usam para redes de banda larga.","neutral"
"A empresa disse que as operações serão vendidas a uma empresa recém-estabelecida, a CPS GmbH, onde a atual administração do negócio de plásticos é um co-proprietário.","neutral"
"O total máximo de negociações obrigatórias por dia é de ISK 400.000.000 de valor de mercado.","neutral"
"Está planejado para configurar o centro de negócios de classe A nos dois principais andares do complexo.","neutral"
"O prejuízo operacional totalizou 0,3 milhões de euros em comparação com um lucro de 2,2 milhões de euros no período correspondente em 2007 .","neutral"
"Na Suécia, o acordo abrange também serviços de comunicação de dados.","neutral"
"A empresa de energia finlandesa Fortum relata que 89 % de sua eletricidade foi gerada sem emissões de dióxido de carbono em 2007.","neutral"
"STORA ENSO OYJ disse que seu resultado no segundo trimestre cairia pela metade em comparação com o mesmo período em 2007.","neutral"
"As Demonstrações Financeiras incluem as demonstrações financeiras consolidadas do Grupo, o Relatório do Conselho de Administração, o Relatório dos Auditores e a Declaração de Governo Societário.","neutral"
"Foi acordado com o conselho de administração da empresa que ela estará disponível em uma função consultiva.","neutral"
"O valor do contrato é de US$ 12 milhões no total.","neutral"
"As doações são concedidas à Universidade de Aalto e às universidades de Helsinque, Tampere, Turku, Finlândia Oriental, JYV+ñskyl+ñ, Oulu e Vaasa e para politécnicos a serem anunciados mais tarde.","neutral"
"As receitas do negócio atingiram NOK 12 milhões em 2008 .","neutral"
"As vendas de cerveja de Rinkuskiai caíram 6,5 %, para 4,16 milhões de litros, enquanto as vendas de cerveja da Kauno Alus saltaram 6,9 %, para 2,48 milhões de litros.","neutral"
"Obtenha o MidnightTrader em tempo real: este relatório está atrasado.","neutral"
"Os serviços de gestão e consultoria de investimentos são a única linha de negócios da empresa.","neutral"
"A área também incluirá alguns edifícios centrais e Honkarakenne iniciou negociações sobre a sua entrega.","neutral"
"26 de novembro de 2010 - A fabricante finlandesa de equipamentos esportivos Amer Sports Oyj (HEL: AMEAS) disse hoje que obteve um empréstimo Schuldschein de EUR 30 milhões de um grupo de investidores internacionais.","neutral"
"Na demonstração financeira do primeiro trimestre de 2010, a Tikkurila é relatada em operações descontinuadas.","neutral"
"Os bancos nÃ³rdicos jÃ¡ tiveram de anular emprÃ©stimos considerÃ¡veis âeurosâeurosna LetÃ³nia, tendo o Swedbank, Nordea, DnB NOR e SEB reportado perdas combinadas superiores a 1,35 mil milhÃµes de dÃ³lares no perÃ­odo de 2007 a 2010, num contexto de quase colapso econÃ³mico na LetÃ³nia.","neutral"
"Através da central, a empresa belga alimentará a rede de distribuição com 8,4 MW de electricidade e poderá fornecer até 14 MW de calor.","neutral"
"O sistema da Tecnomen apresenta uma nova gama de serviços de valor agregado para cobrança pré-paga e pós-paga, cobrança e classificação de chamadas de voz, tráfego de dados ou qualquer tipo de serviço de conteúdo em redes móveis e fixas.","neutral"
"O valor do contrato é de 25 milhões de euros.","neutral"
"O Banco Finlandês de +àland reporta lucros operacionais de 2,2 milhões de euros no primeiro trimestre de 2010 , abaixo dos 6,3 milhões de euros no período correspondente de 2009 .","neutral"
"O prejuízo anual da empresa ascendeu a 18 milhões de EEK , em comparação com um lucro de 7,3 milhões de EEK em 2008 .","neutral"
"O prédio abrigará laboratórios de desenvolvimento e testes de produtos.","neutral"
"O prejuízo operacional totalizou 25 milhões de euros em comparação com um lucro de 63 milhões de euros no período correspondente em 2005 .","neutral"
"15 de setembro de 2010 âeuros A fabricante finlandesa de componentes elÃ©tricos Salcomp Oyj (HEL: SAL1V) anunciou hoje o lanÃ§amento de sua mais recente plataforma de carregadores Twist.","neutral"
"`Este pedido está incluído no livro de pedidos da Wartsila no segundo trimestre ', acrescentou a empresa.","neutral"
"O valor combinado das encomendas é de quase 3 milhões de euros.","neutral"
"A orientação foi estabelecida em 90 pontos base no meio do SWAPS, segundo o relatório.","neutral"
"No total, mais de 3.000 câmeras de vigilância serão manuseadas e gerenciadas de acordo com diversas necessidades, disse a empresa.","neutral"
"Estima -se que o faturamento consolidado de Kausta Guder atinja o LT 53MN US $ 22,53 MN EUR 15,35 MN em 2007.","neutral"
"A participação da Nordea Pankki Suomi Oyj na Stonesoft Corporation diminuiu para menos de 1-20.","neutral"
"As perdas antes de impostos totalizaram 1,2 milhões de euros , abaixo dos lucros de 2,1 milhões de euros em 2004 .","neutral"
"A empresa opera em todo o mundo e emprega no total aproximadamente 47.000 pessoas.","neutral"
"Em 2008, a indústria siderúrgica foi responsável por 64% dos volumes de carga transportados, enquanto a indústria energética foi responsável por 28% e outras indústrias por 8%.","neutral"
"A transação está sujeita a um acordo final entre as partes, aprovações dos seus órgãos de decisão e aprovação da Autoridade da Concorrência Finlandesa.","neutral"
"A Componenta é uma empresa do sector metalúrgico com operações internacionais e unidades de produção localizadas na Finlândia, Holanda, Suécia e Turquia.","neutral"
"A Protalix tem US $ 42 milhões em dinheiro e sem vendas.","neutral"
"O prejuízo operacional totalizou 0,8 milhões de euros, em comparação com um lucro de 0,5 milhões de euros.","neutral"
"O acordo está sujeito a aprovação das autoridades da concorrência norueguesa.","neutral"
"Para ver mais de New Haven, registre-se ou assine o jornal.","neutral"
"O montante restante será financiado através de dívida, disse o banco dinamarquês.","neutral"
"Portanto, a Fase III da pesquisa não será conduzida pela Abbott.","neutral"
"O vínculo tem um valor de euros e150m e uma maturidade de 4 anos.","neutral"
"Até ao final de 2006 , o número de sucursais conjuntas totalizará 170 .","neutral"
"A Comissão Europeia disse anteriormente que multou a ThyssenKrupp, a Otis da United Technologies Corp, a Schindler AG e a Kone Oyj num total de 992,3 milhões de euros por alegada actividade de cartel no mercado de elevadores que remonta a doze anos.","neutral"
"A extraordinária reunião geral deve ocorrer o mais tardar em 18 de fevereiro de 2011.","neutral"
"Os participantes de qualquer uma das discussões do livro ou de outros eventos especiais, ou visitantes da concessionária de automóveis, eram elegíveis para participar do sorteio do Altima prata 2005 de quatro portas.","neutral"
"Segundo a empresa, as demissões serão temporárias.","neutral"
"Castecka disse que a prefeitura manterÃ¡ conversaÃ§Ãµes com outros investidores interessados âeurosâeurosna zona.","neutral"
"A empresa também disse que o seu conselho de administração propôs uma distribuição de lucros de 0,92 euros por ação.","neutral"
"4 de fevereiro de 2011 âeuros A desenvolvedora finlandesa de software de privacidade e seguranÃ§a Tectia Oyj (HEL: TEC1V) disse na quarta-feira que criou duas unidades de negÃ³cios estratÃ©gicas âeuros seguranÃ§a gerenciada e autenticaÃ§Ã£o mÃ³vel.","neutral"
"Faz uma ampla gama de dispositivos móveis com serviços e software que permitem que as pessoas experimentem música, navegação, vídeo, televisão, imagens, jogos e mobilidade nos negócios.","neutral"
"âeurosA Sanoma Ã© um comprador e nÃ£o um alvoâeuros?, disse ele.","neutral"
"Nosso relatório Alimentos enlatados em conserva na Finlândia oferece um guia completo sobre o tamanho e a forma do mercado em nível nacional.","neutral"
"A empresa oferece serviços de folha de pagamento, incluindo processamento de folha de pagamento, administração de impostos sobre folha de pagamento e serviços de pagamento de funcionários, incluindo depósito direto, assinatura de cheques e Readychex.","neutral"
"Como resultado da emissão de ações, o número de ações da Companhia aumenta em 391.630 ações e o capital social em um total de 15.665,20 euros.","neutral"
"O vínculo tem um valor de euros e150m e uma maturidade de 4 anos.","neutral"
"O pedido consiste em gerenciamento de aplicativos terceirizados, suporte e planejamento para Tecnotree e aplicativos de terceiros.","neutral"
"Alexandria, Virgínia, 19 de dezembro - Patente dos Estados Unidos no.7.853.620, emitido em 14 de dezembro, foi designado para a Nokia Corp. (Espoo, Finlândia).","neutral"
"A área do piso do projeto Yliopistonrinne será de 7.900 m² de 85.030 pés quadrados e a área bruta do edifício totalizará 12.800 pés quadrados.Um total de 25,1 % das instalações foram deixadas.","neutral"
"A Scanfil, fornecedora de sistemas e fabricante contratada para o setor de comunicações, notificará 20 funcionários de produção e demitirá temporariamente 15 funcionários na fábrica da empresa em Sievi, na Finlândia.","neutral"
"A empresa também disse que a implantação da rede 4G dinamarquesa continua e espera cobrir 75 % da população dinamarquesa em 2011.","neutral"
"Mercado Farmacêutico na República Tcheca Global Research & Data Services publicou recentemente uma análise de mercado sobre os mercados farmacêuticos na República Tcheca.","neutral"
"A perda operacional aterrissou em 39 milhões de euros, incluindo pontuais e 27 milhões de euros, excluindo únicos.","neutral"
"A companhia aérea estimou que o cancelamento dos seus voos devido ao encerramento do espaço aéreo europeu e o processo de recomeço do tráfego causaram à empresa uma perda de 20 milhões de euros, incluindo os custos de alojamento dos passageiros retidos.","neutral"
"Os termos financeiros não foram divulgados.","neutral"
"Vehvilainen , que atualmente é diretor operacional da Nokia Siemens Networks , ingressará na Finnair em 5 de janeiro de 2010 e assumirá o cargo de CEO a partir de 1º de fevereiro de 2010 .","neutral"
"Como tal, o espaço tem pisos de madeira loira (ao contrário do resto da loja) e uma vibração notavelmente escandinava.","neutral"
"Alpina Sports é uma distribuidora com sede no Líbano, New Hampshire, EUA, por exemplo. Sapatos e esquis Alpina, bastões de esqui Exel, ceras de esqui Start e agora também esquis cross-country Peltonen.","neutral"
"O serviço de Tieto também é usado para enviar, processar e receber materiais relacionados à votação ausente.","neutral"
"O período de assinatura de ações para opções C começará em 1 de setembro de 2008 e expirará em 31 de março de 2011.","neutral"
"A empresa finlandesa vendeu sua operação no Reino Unido - composta por 50 funcionários em escritórios em Londres, Birmingham e Manchester - como parte de um acordo com a Hampden em julho de 2001 por suas propriedades em toda a Europa e ARM Sampo Industrial.","neutral"
"A luminária Costanza, com base de alumínio e abajur lavável, vem nas cores branco, pistache, laranja, azul e vermelho.","neutral"
"O lucro por acção EPS em 2005 ascendeu a uma perda de 1,26 euros.","neutral"
"Conforme relatado anteriormente, a Nokian Tires está construindo uma fábrica na cidade de Vsevolozhsk, na região de Leningrado, na Rússia, com uma capacidade de produção anual de 4 milhões de pneus.","neutral"
"As perdas antes de impostos totalizaram 1,2 milhões de euros , abaixo dos lucros de 2,1 milhões de euros em 2004 .","neutral"
"Doações para universidades A Assembleia Geral Anual autorizou o Conselho de Administração a doar no máximo .","neutral"
"Os clientes agitam os cartÃµes na frente do leitor para fazer pagamentos, de forma semelhante aos cartÃµes ``touch and go'' usados âeurosâeurosem sistemas de transporte.","neutral"
"O tráfego total da Finnair diminuiu 8,7 % em termos de quilômetros de passageiros de receita.","neutral"
"Anúncio da Bolsa de Valores da Incap Corporation 29 de abril de 2010 às 13hConvite para uma entrevista coletiva sobre o relatório provisório do Incap, Q1-2010 Incap, publicará seu relatório intermediário para janeiro a março de 2010 na quarta-feira, 5 de maio de 2010.","neutral"
"A empresa admite que 36 meses é um tempo relativamente curto quando opera na Rússia.","neutral"
"O Conselho da Panostaja Oyj também decidiu em sua reunião organizacional realizada após a conclusão da Assembleia Geral Anual implementar a decisão da Assembleia Geral relativa aos honorários dos membros do Conselho pagos como ações de forma que as ações sejam transferidas trimestralmente na data seguinte à publicação do relatório trimestral- relatório anual .","neutral"
"A empresa finlandesa de aluguel de máquinas Ramirent Plc (OMX Helsinki: RMR1V) relatou na sexta-feira (15 de agosto) um lucro operacional de EUR 65,0 milhões em vendas líquidas de EUR 342,9 milhões no período de janeiro a junho de 2008.","neutral"
"O centro oferece uma ampla gama de serviços de design de dispositivos, abrangendo desde projetos eletrônicos, mecânicos e de software até uma gama completa de serviços de laboratório de testes.","neutral"
"A desenvolvedora finlandesa de soluções de automação Cencorp Corporation ( OMX Helsinki : CNC1V ) emitiu na quinta - feira ( 18 de setembro ) um alerta de lucro para o terceiro trimestre de 2008 .","neutral"
"De acordo com Matti Karppinen, CEO da finlandesa L+ñnnen Tehtaat, agora que a L+ñnen Tehtaat vendeu a maior parte do seu negócio de rações e cereais, começará rapidamente a procurar aquisições.","neutral"
"O investidor de capital privado CapMan, proprietário da empresa finlandesa de cosméticos Lumene, está planejando listar a Lumene.","neutral"
"O investimento total em 2006 e 2007 deverá ascender a cerca de 75 milhões de euros.","neutral"
"Fancy Dans em movimento Loja de presentes e interiores FAB Glasgow Fancy Dans está em movimento!","neutral"
"A STUK é hoje uma empresa especializada em questões de radiação e segurança nuclear.","neutral"
"O Video International Group da Rússia detém uma participação controladora na Russian Media Ventures.","neutral"
"A produção na planta será baseada na tecnologia proprietária do NESTE Oil, que pode usar uma entrada flexível de qualquer óleo vegetal ou gordura animal.","neutral"
"às 9:00 EET O Relatório Anual da Alma Media de 2009 está programado para ser publicado na semana 9 do calendário.","neutral"
"As vendas da unidade caíram no ano passado, depois que a indústria foi atingida por fortes nevascas nos principais resorts no inverno de 2006-07.","neutral"
"O justo valor dos investimentos próprios da CapMan Plc em 30 de Setembro de 2008 ascendia a 59,8 milhões de euros.","neutral"
"Também as despesas de construção aumentaram na Rússia.","neutral"
"A empresa atende clientes em vários setores, incluindo processos e recursos, maquinário industrial, arquitetura, construção civil, elétrica, transporte, eletrônica, química, petroquímica, energia e tecnologia da informação, bem como catering e residências.","neutral"
"Serão investidos no projeto um total de US$ 78 milhões.","neutral"
"A família de produtos StoneGate foi projetada para fornecer todos os benefícios de um sistema de gerenciamento unificado, incluindo registro, relatórios e auditoria compartilhados.","neutral"
"HELSINKI AFX-Salcomp, fabricante de carregadores de telemóveis, anunciou que nomeou Markku Hangasjarvi como seu novo CEO, após a demissão de Mats Eriksson.","neutral"
"O objetivo das sessões de perguntas e respostas do CEO é esclarecer ainda mais informações que já foram tornadas públicas anteriormente.","neutral"
"A Blyk será lançada primeiro no mercado do Reino Unido em meados de 2007, seguida por outros mercados.","neutral"
"O valor do contrato é de cerca de 1,0 milhões de euros. A Poyry, com sede em Vantaa, Finlândia, fornece serviços de consultoria e engenharia para os setores de energia, silvicultura e infraestrutura e meio ambiente.","neutral"
"As autoridades da concorrência terão de aprovar o acordo antes de poder ser finalizado.","neutral"
"A CapMan fez seu investimento inicial na OneMed em junho de 2006.","neutral"
"Luna ficou em quinto lugar com seis abaixo de 207, um chute atrás da espanhola Beatriz Recari e da alemã Martina Eberl, enquanto a jogadora galesa Becky Brewerton foi a finalista britânica mais bem colocada, dividindo o sétimo lugar com três abaixo de 210 após arremessar 71.","neutral"
"Depois de comprar a participação de transportadores de carros da Eukor, 50 %, o Grimaldi Group agora é o único proprietário da porta sueca de Walhamn.","neutral"
"ATUALIZAÃÃO 1-SABMiller aumenta as vendas subjacentes no 2Âº trimestre, o cÃ¢mbio impacta as margens","neutral"
"A empresa reitera suas perspectivas para 2009 .","neutral"
"O aviso de redução aplicado a 17 pessoas.","neutral"
"O conselho de administração da empresa proporia um dividendo de 1,00 euros por acção para 2005 .","neutral"
"Radiação e hoje é um especialista em serviços completos em questões de radiação e segurança nuclear.","neutral"
"Você ouvirá as últimas idéias e atualizações sobre a estratégia do CityCon, bem como as últimas notícias de todas as unidades de negócios.","neutral"
"O aumento correspondente no capital social, no total de 300,00 euros, foi registrado no registro comercial finlandês em 8 de maio de 2008.","neutral"
"A companhia aérea tinha como alvo agentes de viagens, operadores turísticos e empresas de gestão de viagens para aumentar a sensibilização antes de atingir os consumidores, acrescentou.","neutral"
"Os acionistas acima mencionados informaram que proporão à reunião geral anual que o número de membros do Conselho de Administração será cinco e que, além dos atuais membros do Conselho de Administração, o Sr. Lassi Noponen será eleito para o Conselho de Administração.","neutral"
"Faz parte do desenvolvimento do depósito de magnetita de classe mundial em Karara, que tem o potencial conhecido de mais de 30 milhões de toneladas de processamento anual de magnetita ao longo de sua vida útil estimada de 30 anos.","neutral"
"As receitas do trimestre totalizaram 27,4 mil milhões de euros , uma queda de 2 por cento em relação aos 28,1 mil milhões no quarto trimestre de 2008 .","neutral"
"Helsinque em 22 de outubro de 2008 SSH COMMUNICATIONS SECURITY CORP Conselho de Administração Para mais informações, entre em contato com: Tomi Laamanen, Presidente, tel. +358 0 400 609 544 Distribuição: NASDAQ OMX Helsinki Ltd.","neutral"
"O prejuízo anual da empresa ascendeu a 18 milhões de EEK , em comparação com um lucro de 7,3 milhões de EEK em 2008 .","neutral"
"A margem direita será visualizada separadamente em detalhes com cada cliente.","neutral"
"(Um porta-voz disse ao WWD que espera uma mistura 50-50 de roupas e decoração para casa.)","neutral"
"As alterações entrarão em vigor em 1º de janeiro de 2010 e não se estima que tenham impacto no número de funcionários.","neutral"
"De acordo com o registo comercial da Letónia , a Uponor Letónia fechou no vermelho com LVL 99 000 EUR 139 538,17 USD 194 556,48 num volume de negócios de LVL 2 346 milhões em 2009 .","neutral"
"O serviço de Tieto também é usado para enviar, processar e receber materiais relacionados à votação ausente.","neutral"
"O contrato inclui uma opção para entregar mais 75 ASCs nas próximas fases do projeto.","neutral"
